City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,nova sintra,14.8667,-24.7167,27.13,80,62,4.54,CV,1728910538
244,harstad,68.799,16.5293,5.09,87,44,8.94,NO,1728910540
245,ampliacion colonia lazaro cardenas,28.3833,-105.6167,14.53,33,0,2.2,MX,1728910541
246,chinde,26.8212,87.7095,21.5,85,20,1.87,NP,1728910542
247,trail,49.0998,-117.7022,9.29,74,30,0.92,CA,1728910543
248,yei,4.095,30.6779,25.52,79,68,0.74,SS,1728910544
249,mount gambier,-37.8333,140.7667,9.98,85,36,3.21,AU,1728910545
250,chamical,-30.36,-66.314,22.88,56,32,4.45,AR,1728910546
251,sinabang,2.4803,96.3801,26.44,83,100,4.54,ID,1728910547
252,salinopolis,-0.6136,-47.3561,29.09,67,72,6.1,BR,1728910548
253,crucecita,-28.95,-58.9833,26.64,58,100,3.35,AR,1728910549
254,luanda,-8.8368,13.2343,25.03,77,69,5.17,AO,1728910294
255,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,61,20,4.0,RU,1728910552
256,qaqortoq,60.7167,-46.0333,4.12,42,27,3.01,GL,1728910553
257,chifeng,42.2683,118.9636,9.91,47,0,3.32,CN,1728910554
258,al 'aziziyah,32.9058,45.0616,38.39,10,5,3.12,IQ,1728910555
259,gagarawa,12.4074,9.5277,34.37,34,19,1.24,NG,1728910556
260,afif,23.9065,42.9172,33.59,9,1,2.86,SA,1728910557
261,uturoa,-16.7333,-151.4333,24.99,65,96,3.28,PF,1728910558
262,tamanrasset,22.785,5.5228,31.95,12,40,5.66,DZ,1728910561
263,kyzyl-suu,42.3414,78.0056,12.66,49,84,1.42,KG,1728910562
264,margaret river,-33.95,115.0667,13.86,82,54,6.51,AU,1728910563
265,kanker,20.2719,81.4931,24.94,85,56,2.12,IN,1728910564
266,annaba,36.9,7.7667,31.98,43,75,5.14,DZ,1728910565
267,karachi,24.9056,67.0822,32.9,31,75,3.09,PK,1728910537
268,mazamari,-11.3258,-74.5308,22.14,88,98,0.74,PE,1728910562
269,koson,39.0375,65.585,15.72,50,100,4.65,UZ,1728910568
270,hami,42.8,93.45,18.4,24,42,2.06,CN,1728910569
271,kongolo,-5.3833,27.0,28.94,61,25,3.36,CD,1728910570
272,cabinda,-5.55,12.2,28.08,78,75,5.14,AO,1728910571
273,akhalk'alak'i,41.4051,43.4863,12.72,64,94,3.01,GE,1728910572
274,gornopravdinsk,60.05,69.9,0.76,87,96,0.71,RU,1728910573
275,kuta,-8.7233,115.1723,27.97,89,40,3.09,ID,1728910574
276,abalak,58.1286,68.5944,0.93,67,26,1.45,RU,1728910576
277,de aar,-30.6497,24.0123,27.82,24,98,8.34,ZA,1728910577
278,benguela,-12.5763,13.4055,26.39,70,48,5.16,AO,1728910578
279,muswellbrook,-32.2667,150.9,14.38,99,100,1.61,AU,1728910579
280,ust'-kulom,61.6864,53.6902,1.51,63,49,2.55,RU,1728910580
281,ugoofaaru,5.6667,73.0,27.61,81,100,5.93,MV,1728910582
282,aleg,17.0481,-13.9209,39.02,17,7,2.59,MR,1728910583
283,otjimbingwe,-22.35,16.1333,36.14,12,88,1.64,NA,1728910584
284,nuriootpa,-34.4833,139.0,16.08,77,100,5.21,AU,1728910585
285,valparaiso,-33.0393,-71.6273,17.22,66,0,4.12,CL,1728910439
286,motueka,-41.1333,173.0167,8.94,90,12,1.86,NZ,1728910587
287,rurrenabaque,-14.4413,-67.5278,25.94,78,40,2.06,BO,1728910588
288,tabuk,17.4189,121.4443,24.52,89,100,1.37,PH,1728910590
289,vorgashor,67.5833,63.95,0.11,97,100,3.86,RU,1728910591
290,gorontalo,0.5412,123.0595,25.53,91,94,0.86,ID,1728910593
291,juneau,58.3019,-134.4197,8.01,95,75,6.17,US,1728910594
292,al ghayzah,16.2079,52.176,32.65,43,92,4.86,YE,1728910595
293,undurkhaan,47.3194,110.6556,-6.46,79,2,0.92,MN,1728910596
294,amarante,-6.2411,-42.8547,35.71,30,1,3.38,BR,1728910598
295,bangor,54.6534,-5.669,13.38,71,90,3.6,GB,1728910424
296,kalampaka,39.7044,21.6269,25.22,34,56,1.21,GR,1728910600
297,gebeit,21.0667,36.3167,34.39,21,97,7.14,SD,1728910602
298,mahibadhoo,3.7833,72.9667,27.75,78,100,6.0,MV,1728910603
299,port lincoln,-34.7333,135.8667,16.2,85,100,5.82,AU,1728910604
300,la mana,-0.9333,-79.2167,24.25,84,86,0.68,EC,1728910605
301,crane,31.3974,-102.3501,18.83,35,10,4.72,US,1728910606
302,vorkuta,67.5,64.0,0.27,97,100,3.98,RU,1728910607
303,dudinka,69.4058,86.1778,-13.16,95,45,3.0,RU,1728910609
304,cidreira,-30.1811,-50.2056,20.5,74,79,10.3,BR,1728910610
305,kavieng,-2.5744,150.7967,28.46,78,100,4.62,PG,1728910611
306,fale old settlement,-9.3852,-171.2468,27.43,79,30,5.81,TK,1728910612
307,plettenberg bay,-34.0527,23.3716,16.91,56,72,5.14,ZA,1728910613
308,berdigestyakh,62.0989,126.6992,-16.76,99,60,1.02,RU,1728910614
